Rank,Release,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated,movie_id
137,Emily,-,-,-,"$1,097,067",579,"$1,097,067",Feb 17,Bleecker Street Media,False,2666693377
138,Knights of the Zodiac,-,-,-,"$1,090,155",588,"$1,090,155",May 12,-,False,4203184897
139,Broker,-,-,-,"$1,001,892",271,"$1,046,899",Dec 23,Neon,False,586646273
140,Showing Up,-,-,-,"$972,074",115,"$754,483",Apr 7,A24,False,956203777
141,The Roundup: No Way Out,-,-,-,"$909,411",41,"$909,411",Jun 2,Capelight Pictures,False,1100317441
142,Inside,-,-,-,"$897,190",357,"$897,190",Mar 17,Focus Features,False,132023041
143,Fool's Paradise,-,-,-,"$855,173",794,"$855,173",May 12,Roadside Attractions,False,2408743681
144,Paint,-,-,-,"$811,739",819,"$811,739",Apr 7,IFC Films,False,2129494785
145,Return to Seoul,-,-,-,"$776,427",103,"$798,774",Feb 17,Sony Pictures Classics,False,276857601
146,Hidden Blade,-,-,-,"$770,276",62,"$803,189",Feb 17,Well Go USA Entertainment,False,3875373825
147,The Devil Conspiracy,-,-,-,"$765,218",925,"$765,218",Jan 13,-,False,2934801153
148,Route 60: The Biblical Highway,-,-,-,"$764,316",1006,"$1,606,339",Sep 18,Fathom Events,False,2929230593
149,Roll with It,-,-,-,"$757,981",725,"$757,981",May 9,Fathom Events,False,452756225
150,How to Blow Up a Pipeline,-,-,-,"$750,010",530,"$750,010",Apr 7,-,False,479036161
151,Rally Road Racers,-,-,-,"$711,005",1228,"$744,169",May 12,Viva Pictures,False,428704513
152,It Ain't Over,-,-,-,"$705,355",128,"$705,355",May 12,Sony Pictures Entertainment (SPE),False,427852545
153,Devotion,-,-,-,"$673,996",3458,"$20,511,938",Nov 23,Columbia Pictures,False,1211925249
154,Master Gardener,-,-,-,"$667,114",225,"$667,114",May 19,Magnolia Pictures,False,2475197185
155,Shortcomings,-,-,-,"$666,400",404,"$666,400",Aug 4,Sony Pictures Classics,False,1285784321
156,Camp Hideout,-,-,-,"$640,268",848,"$640,268",Sep 15,Roadside Attractions,False,530678529
157,Corsage,-,-,-,"$638,320",317,"$705,767",Dec 23,IFC Films,False,1523745537
158,EO,-,-,-,"$623,924",80,"$1,068,782",Nov 18,Sideshow Releasing,False,2599256833
159,Shin Ultraman,-,-,-,"$601,490",1040,"$601,490",Jan 11,Fathom Events,False,183403265
160,The Thorn,-,-,-,"$577,004",834,"$577,004",Mar 6,Fathom Events,False,3705963265
161,The Way2023 Re-release,-,-,-,"$567,448",755,"$567,448",May 16,Fathom Events,False,
162,Of an Age,-,-,-,"$556,585",289,"$556,585",Feb 17,Focus Features,False,1491436289
